name,company,image,for_gender,main accords,top notes,middle notes,base notes
Midnight Amber 1667,1667,https://fimgs.net/mdimg/perfume/375x500.67732.jpg,for women and men,"{'woody': '100', 'amber': '97.5861', 'citrus': '78.2757', 'patchouli': '78.2757', 'warm spicy': '63.7932', 'balsamic': '56.5518', 'earthy': '49.3104', 'fresh': '44.4829', 'sweet': '44.4829'}","Amber, Palisander Rosewood",Patchouli,Bitter Orange
La Habana 19-69,19-69,https://fimgs.net/mdimg/perfume/375x500.65418.jpg,for women and men,"{'amber': '100', 'balsamic': '61.7396', 'smoky': '57.6544', 'warm spicy': '57.183', 'aromatic': '48.2268', 'musky': '48.0696', 'vanilla': '45.7128', 'oud': '44.9272'}","Saffron, Aldehydes","Incense, Elemi resin","Amber, Vanilla Absolute, Ambroxan, Laotian Oud, Hyrax, Caramel"
Hamaca 27 87,27 87,https://fimgs.net/mdimg/perfume/375x500.44352.jpg,for women and men,"{'vanilla': '100', 'coconut': '96.9941', 'marine': '77.439', 'sweet': '70.9206', 'aromatic': '65.525', 'lactonic': '53.4478', 'powdery': '53.0317', 'woody': '52.8143', 'tropical': '50.0981', 'salty': '48.9758'}",Sea water,"Coconut, Sandalwood","Vanilla, Tonka Bean"
A Flame In Your Heart 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.81703.jpg,for women and men,"{'amber': '100', 'vanilla': '50.1764', 'balsamic': '45.9216', 'warm spicy': '45.3725'}",,,
Amberama 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.51528.jpg,for women and men,"{'woody': '100', 'amber': '86.5105', 'powdery': '73.5679', 'fruity': '66.4582', 'fresh spicy': '60.0784', 'sweet': '59.349', 'musky': '54.0625', 'iris': '53.6981', 'warm spicy': '51.146', 'citrus': '46.4064'}","Black Pepper, Bergamot","Raspberry, Sandalwood, Iris","Amber, Woody Notes, Labdanum, Musk"
Shazam! 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.22851.jpg,for women and men,"{'amber': '100', 'woody': '96.4471', 'warm spicy': '90.1894', 'aromatic': '79.2655', 'fresh spicy': '71.1514', 'citrus': '58.6366', 'patchouli': '52.803', 'cacao': '50.682', 'sweet': '45.8562'}","Tangerine, Juniper Berries, Basil","Atlas Cedar, Olibanum, Cardamom, Pink Pepper","Amber, Patchouli, Cacao"
"Silk, Lace & Chocolate 4160 Tuesdays",4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.31365.jpg,for women and men,"{'sweet': '100', 'fruity': '91.4634', 'chocolate': '83.9512', 'citrus': '72.6828', 'warm spicy': '63.7196', 'fresh spicy': '51.3414', 'cacao': '50.2316'}",,,
4711 Acqua Colonia Coffee Bean & Vetyver 4711,4711,https://fimgs.net/mdimg/perfume/375x500.46143.jpg,for women and men,"{'coffee': '100', 'aromatic': '73.12', 'woody': '73.12', 'warm spicy': '71.9999', 'earthy': '66.96'}",,,
4711 Acqua Colonia Myrrh & Kumquat 4711,4711,https://fimgs.net/mdimg/perfume/375x500.50782.jpg,for women and men,"{'amber': '100', 'citrus': '96.9567', 'aromatic': '67.8745', 'warm spicy': '61.1112', 'sweet': '60.773', 'balsamic': '57.2223', 'fresh': '44.8793'}",,,
OR/18 A. N. OTHER,A. N. OTHER,https://fimgs.net/mdimg/perfume/375x500.47798.jpg,for women and men,"{'sweet': '100', 'vanilla': '90.2921', 'citrus': '73.0657', 'aromatic': '69.9272', 'cannabis': '61.387', 'amber': '60.1458', 'anis': '56.2773', 'soft spicy': '56.2773', 'white floral': '53.3578', 'fruity': '48.2481'}","Sugar, Star Anise, Lemon, Blood Orange","cannabis, Night Blooming Jasmine, Myrrh","Vanilla, Tonka Bean, Driftwood"
Dark Abaco Paris,Abaco Paris,https://fimgs.net/mdimg/perfume/375x500.68874.jpg,for men,,,,
Rosso Tabacco ABD Malik,ABD Malik,https://fimgs.net/mdimg/perfume/375x500.83334.jpg,for women and men,"{'sweet': '100', 'anis': '88.3333', 'caramel': '88.3333', 'oud': '88.3333', 'tobacco': '88.3333', 'soft spicy': '70.8333', 'warm spicy': '70.8333', 'musky': '47.5'}",,,
Toscano ABD Malik,ABD Malik,https://fimgs.net/mdimg/perfume/375x500.83333.jpg,for women and men,"{'tobacco': '100', 'oud': '100', 'citrus': '100', 'leather': '100', 'woody': '93.0003', 'sweet': '89.5001', 'fresh spicy': '82.5003', 'fruity': '71.9997', 'animalic': '65', 'sour': '64.2998'}",,,
Attar Maulana Abdes Salaam Attars Perfumes,Abdes Salaam Attars Perfumes,https://fimgs.net/mdimg/perfume/375x500.19569.jpg,for women and men,"{'white floral': '100', 'vanilla': '90.8696', 'tuberose': '60.4346', 'rose': '60.4346', 'amber': '52.826', 'leather': '52.826', 'animalic': '48.2608', 'smoky': '48.2608', 'powdery': '48.2608', 'floral': '48.2608'}",,,
Bazaar Abdes Salaam Attars Perfumes,Abdes Salaam Attars Perfumes,https://fimgs.net/mdimg/perfume/375x500.19571.jpg,for women and men,"{'warm spicy': '100', 'amber': '84.7413', 'balsamic': '57.2753', 'woody': '52.1252', 'patchouli': '47.1663'}",,,
Hindu Kush Abdes Salaam Attars Perfumes,Abdes Salaam Attars Perfumes,https://fimgs.net/mdimg/perfume/375x500.15339.jpg,for women and men,"{'warm spicy': '100', 'woody': '79.6687', 'fresh spicy': '74.4834', 'amber': '71.7545', 'smoky': '67.115', 'balsamic': '53.1968'}",,,
Mecca Balsam Abdes Salaam Attars Perfumes,Abdes Salaam Attars Perfumes,https://fimgs.net/mdimg/perfume/375x500.15340.jpg,for women and men,"{'amber': '100', 'tobacco': '56.405', 'warm spicy': '53.2795', 'balsamic': '52.7945', 'smoky': '51.9861', 'sweet': '50.3158', 'oud': '48.3217', 'vanilla': '45.843'}",,,
Oud Caravan No 2 Abdes Salaam Attars Perfumes,Abdes Salaam Attars Perfumes,https://fimgs.net/mdimg/perfume/375x500.58224.jpg,for women and men,"{'oud': '100', 'white floral': '62.3076', 'woody': '48.8462', 'animalic': '47.7692'}",,,
Oud Caravan No 3 Abdes Salaam Attars Perfumes,Abdes Salaam Attars Perfumes,https://fimgs.net/mdimg/perfume/375x500.19377.jpg,for women and men,"{'oud': '100', 'fresh spicy': '44'}",,,
Box Office 10th Avenue Karl Antony,10th Avenue Karl Antony,https://fimgs.net/mdimg/perfume/375x500.28786.jpg,for men,"{'aromatic': '100', 'fresh spicy': '81.6669', 'citrus': '80', 'powdery': '65.8335', 'warm spicy': '63.3333', 'violet': '55.0002', 'amber': '55.0002', 'woody': '52.5001', 'green': '48.3336', 'marine': '46.6667'}","Black Pepper, Cardamom, Mint, Pink Grapefruit, Lavender, Mandarin Orange, Lemon, Clary Sage","Violet, Iris, Jasmine, Sea Notes","Tonka Bean, Amber, Cedar, Musk"
Sunwage 10th Avenue Karl Antony,10th Avenue Karl Antony,https://fimgs.net/mdimg/perfume/375x500.40480.jpg,for men,"{'citrus': '100', 'amber': '65', 'woody': '56.25', 'fresh spicy': '54.5001', 'musky': '54.5001', 'fresh': '47.5'}","Bergamot, Citruses","Ambergris, Labdanum","Woody Notes, Musk"
Top Model 10th Avenue Karl Antony,10th Avenue Karl Antony,https://fimgs.net/mdimg/perfume/375x500.28774.jpg,for men,"{'aromatic': '100', 'citrus': '99.462', 'fresh spicy': '91.9236', 'musky': '86.5386', 'white floral': '83.8464', 'vanilla': '77.1157', 'green': '70.385', 'powdery': '70.385', 'animalic': '69.0386', 'sweet': '66.3464'}","Bergamot, Mint, Cumin, Orange","Lavender, Sage, Cinnamon, Orange Blossom, Rose, Lily-of-the-Valley","Musk, Cedar, Tonka Bean, Vanilla, Civet"
Conciergerie 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.33181.jpg,for women and men,"{'leather': '100', 'aromatic': '78.2046', 'fruity': '69.7727', 'animalic': '69.2954', 'sweet': '62.9317', 'fresh spicy': '57.5226', 'powdery': '53.466', 'smoky': '51.0001', 'vanilla': '50.6816', 'amber': '44.318'}","Leather, Thyme, Violet","Raspberry, Mate, Cedar","Vanilla, Amber, Musk"
Potager du Roi 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.42913.jpg,for women and men,"{'white floral': '100', 'aromatic': '97.2', 'rose': '91.2498', 'fresh spicy': '78.9997', 'musky': '78.9997', 'herbal': '60.0998', 'fresh': '54.4998', 'powdery': '54.4998', 'floral': '52.7501', 'soft spicy': '47.4999'}",,,
Capri 19-69,19-69,https://fimgs.net/mdimg/perfume/375x500.53116.jpg,for women and men,"{'citrus': '100', 'aromatic': '54.5739', 'fresh spicy': '51.5285', 'green': '47.7644', 'musky': '47.2991', 'floral': '44.4229'}","Bitter Orange, Mandarin Orange, Mandarin Leaf, Sweet Orange, Juniper Berries, Chamomile, Pink Pepper, Sichuan Pepper, Cardamom","Osmanthus, Galbanum, Ylang-Ylang, Jasmine","White Musk, Ambroxan, Angelica, Orris"
Miami Blue 19-69,19-69,https://fimgs.net/mdimg/perfume/375x500.66722.jpg,for women and men,"{'fresh': '100', 'citrus': '87.2114', 'rose': '74.2307', 'aldehydic': '70.8652', 'amber': '62.6924', 'warm spicy': '61.1538', 'ozonic': '48.8461', 'aromatic': '44.4229'}","Lemon, Aldehydes, Ginger","Rose, Cocaine","Amber, Calone"
#Hashtag 27 87,27 87,https://fimgs.net/mdimg/perfume/375x500.37889.jpg,for women and men,"{'aldehydic': '100', 'fresh': '71.9997', 'amber': '71.3634', 'woody': '71.0452', 'powdery': '68.235', 'ozonic': '64.2576', 'musky': '61.2878', 'iris': '58.6361', 'aquatic': '55.2423', 'soapy': '50.9999'}","Aldehydes, Violet Leaf","Olibanum, Iris","Musk, Cedar"
Wandervogel 27 87,27 87,https://fimgs.net/mdimg/perfume/375x500.37891.jpg,for women and men,"{'aromatic': '100', 'green': '88.2676', 'marine': '68.6447', 'fresh spicy': '62.0497', 'soft spicy': '54.2513', 'anis': '49.3456', 'sand': '47.5868', 'musky': '47.2167', 'salty': '47.2167'}","Mint, Sea Notes, Shiso","Fennel, Anise, White Flowers","Sand, Musk"
A Kiss By The Fireside 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.22847.jpg,for women and men,"{'woody': '100', 'rose': '74.156', 'aromatic': '68.052', 'warm spicy': '66.3637', 'lavender': '63.7662', 'citrus': '56.8832', 'earthy': '51.039', 'musky': '48.1817', 'floral': '46.6233', 'fresh spicy': '45.0649'}","Lavender, Orange","Rose, Guaiac Wood, Cloves","Vetiver, Musk"
Hammersmith Tea & Biscuits 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.75595.jpg,for women and men,"{'citrus': '100', 'green': '74.1178', 'fresh': '72.9412', 'vanilla': '68.2352', 'sweet': '55.2943', 'warm spicy': '53.8236', 'aromatic': '49.4118', 'ozonic': '44.7058'}",,,
